"address","date","maxave","minave"
"Kaleen, ACT",2013-03-24,25.1599998474121,6.97666692733765
"Kaleen, ACT",2013-03-25,26.0988883972168,6.79999971389771
"Kaleen, ACT",2013-03-26,27.4133338928223,10.9433336257935
"Kaleen, ACT",2013-03-27,29.8444442749023,9.94333362579346
"Kaleen, ACT",2013-03-28,24.3633346557617,14.7622222900391
"Kaleen, ACT",2013-03-29,21.148889541626,5.67111110687256
"Kaleen, ACT",2013-03-30,22.796667098999,4.1288890838623
"Kaleen, ACT",2013-03-31,21.4488887786865,6.8222222328186
"Kaleen, ACT",2013-04-01,22.1322231292725,7.54222249984741
"Kaleen, ACT",2013-04-02,23.2055549621582,4.64666652679443
"Kaleen, ACT",2013-04-03,18.4555549621582,8.6133337020874
"Kaleen, ACT",2013-04-04,18.5644454956055,6.4433331489563
